Numéro d'ordre;Indiction;Année;Mois;Jour;Type d’acte;Titre;Prénoms;Nom;Domicile;Rôle;Notes;Lieu mentionné;Transcription;Page;Vue;Notaire;Ville;Releveur;Cote;URL
29;8;1580;4;25;Quittance;Quitansa & reto.ne p Gioanni Buffoni Herigio & Filipponi frali da Loigio Otto Bronde cognato;Erige;Buffon;Lantosque;Partie 2;;;;23;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
29;8;1580;4;25;Quittance;Quitansa & reto.ne p Gioanni Buffoni Herigio & Filipponi frali da Loigio Otto Bronde cognato;Philippe;Buffon;Lantosque;Partie 3;;;;23;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
29;8;1580;4;25;Quittance;Quitansa & reto.ne p Gioanni Buffoni Herigio & Filipponi frali da Loigio Otto Bronde cognato;Louis;Otto Brondé;Lantosque;Partie 4;;;;23;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
30;8;1580;4;25;Achat;Compra di Honorato Auda da Gio.to Buffone Minore;Honoré;Auda;Lantosque;Partie 1;;;;24;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
30;8;1580;4;25;Achat;Compra di Honorato Auda da Gio.to Buffone Minore;Jeannet (Junior);Buffon;Lantosque;Partie 2;;;;24;26;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/26
31;8;1580;5;3;Mandement volontaire;Mandamento volontario p Honorato Sigaudo Borlier q.a rtio Caffarelo;Honoré;Sigaudo;Belvédère;Partie 1;;;;24;27;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/27
31;8;1580;5;3;Mandement volontaire;Mandamento volontario p Honorato Sigaudo Borlier q.a rtio Caffarelo;;Caffarelo;Lantosque;Partie 2;;;;24;27;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/27
32;8;1580;5;3;Testament;Testamento di Lud.co Ferrier;Louis;Ferrier;Lantosque;Partie 1;;;;25;27;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/27
33;8;1580;5;14;Mandement volontaire;Mandamento volontario p m.o Lud.co Uberto q.a χρoforo Guigone;Christophe;Guigo;La Bollène;Partie 1;;;;26;29;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/29
33;8;1580;5;14;Mandement volontaire;Mandamento volontario p m.o Lud.co Uberto q.a χρoforo Guigone;Louis;Uberto;Lantosque;Partie 2;;;;26;29;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/29
34;8;1580;5;19;Quittance & Reconnaissance;Quitansa p Tonnone Otto e recog.ne p Torina soa sorela da Honorato Gaudino suo marito e cognato;Tonon;Otto Loyas;;Partie 1;;;;26;29;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/29
34;8;1580;5;19;Quittance & Reconnaissance;Quitansa p Tonnone Otto e recog.ne p Torina soa sorela da Honorato Gaudino suo marito e cognato;Antorine;Otto Loyas;;Partie 2;;;;26;29;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/29
34;8;1580;5;19;Quittance & Reconnaissance;Quitansa p Tonnone Otto e recog.ne p Torina soa sorela da Honorato Gaudino suo marito e cognato;Honoré;Gaudino;Lantosque;Partie 3;;;;26;29;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/29
